Title,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Hellboy: The Board Game ,1314,2019,1825,7.8081,6.43742,1.41372,2.9385,65,4519,0,1,4,4,4.0,37,Thematic,221,6.77053,"Area Movement
Cooperative Game
Dice Rolling
Modular Board
Solo / Solitaire Game
Variable Player Powers
",$91.84,,,,,,
Guildhall ,1315,2012,4115,6.8922,6.43689,1.24504,2.0673,223,16157,5,2,4,2,2.0,86,Strategy ,739,6.53084,"Hand Management
Set Collection
Take That
",Unknown,Family ,354,6.54584,,,
Merchant of Venus ,1316,1988,2752,7.14383,6.43668,1.52207,2.8357,280,5880,0,2,5,3,4.0,83,Strategy ,707,6.56077,"Commodity Speculation
Dice Rolling
Movement Points
Pick-up and Deliver
Point to Point Movement
Roll / Spin and Move
",Unknown,,,,,,
Axis & Allies: Europe 1940 ,1317,2010,2182,7.56694,6.43645,1.65044,3.5035,141,2154,0,2,5,4,4.0,85,War ,134,7.06827,"Area Majority / Influence
Area Movement
Dice Rolling
Team-Based Game
",$71.13,,,,,,
Medina ,1318,2001,3170,7.01536,6.43632,1.2697,2.7818,275,4761,6,3,4,4,4.0,48,Abstract ,43,6.84232,"Grid Coverage
Square Grid
Tile Placement
",Unknown,Strategy ,710,6.55734,,,
Rialto ,1319,2013,4000,6.89853,6.43568,1.173,2.5522,268,8501,1,2,5,4,4.0,89,Strategy ,733,6.53726,"Area Majority / Influence
Auction/Bidding
Open Drafting
",Unknown,,,,,,
Carnival of Monsters ,1320,2019,2482,7.26304,6.43531,1.27287,2.1385,65,11076,1,3,5,4,4.0,57,Family ,338,6.57872,"Closed Drafting
Dice Rolling
Loans
Set Collection
",$39.99,,,,,,
Evergreen ,1321,2022,1758,7.51131,6.43395,1.09964,2.102,49,7860,0,1,4,2,2.0,43,Family ,308,6.62455,"Bias
End Game Bonuses
Open Drafting
",$46.43,,,,,,
Evo ,1322,2001,4467,6.86711,6.43394,1.19911,2.343,446,6467,3,3,5,4,5.0,48,Strategy ,755,6.51828,"Area Majority / Influence
Area Movement
Auction/Bidding
Dice Rolling
Hand Management
Turn Order: Stat-Based
",Unknown,Family ,373,6.52614,,,
Planet Steam ,1323,2008,2868,7.10269,6.43348,1.44339,3.7565,230,4524,1,2,5,4,4.0,70,Strategy ,709,6.55849,"Auction/Bidding
Commodity Speculation
Market
Trading
",$49.99,,,,,,
Liberté ,1324,1998,2703,7.11755,6.43323,1.36295,3.3033,300,4364,2,3,6,4,4.0,74,Strategy ,693,6.57288,"Area Majority / Influence
Auction/Bidding
Hand Management
Open Drafting
",$34.98,,,,,,
