Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes
Hammer of the Scots ,2002,4099,7.53106,6.84851,1.37926,2.9673,490,7282,2,2,2,2,53
Star Wars: Destiny ,2016,5361,7.45805,6.84765,1.57891,2.4554,101,68019,2,2,2,2,41
The Battle of Five Armies ,2014,2810,7.88459,6.84711,1.29467,3.5921,152,4051,2,2,2,2,34
Francis Drake ,2013,5089,7.37878,6.84654,1.25032,2.9197,249,8663,4,5,5,5,101
Unlock!: Heroic Adventures ,2018,3365,7.64175,6.84608,1.28332,2.2051,39,9243,1,4,2,2,31
Aeon Trespass: Odyssey ,2022,2036,9.16223,6.84602,1.64782,4.7282,309,8444,1,4,1,2,131
Unmatched: Little Red Riding Hood vs. Beowulf ,2020,2178,8.18712,6.8456,1.16763,1.913,23,2674,2,2,2,2,12
Conan ,2016,4498,7.64792,6.8439,1.58137,2.7521,121,10039,2,5,4,4,81
Cuba Libre ,2013,3216,7.69132,6.84364,1.29066,3.5837,233,7017,1,4,4,4,87
Pax Renaissance: 2nd Edition ,2021,1648,8.55531,6.8434,1.48287,4.5756,172,6058,2,4,2,3,76
A Game of Thrones ,2003,10508,7.17637,6.84291,1.5855,3.4507,1156,11530,4,5,5,5,208
Gears of War: The Board Game ,2011,5017,7.46911,6.8419,1.40522,2.8796,324,12709,1,4,2,2,143
Photosynthesis ,2017,22550,7.00228,6.83942,1.26378,2.2584,445,40386,2,4,3,3,281
Blood Bowl (2016 Edition) ,2016,2647,7.98168,6.83739,1.51764,3.5472,53,11591,2,2,2,2,23
Zombicide ,2012,18486,7.10801,6.83667,1.57376,2.5356,814,44721,1,6,3,3,287
Thebes ,2007,9750,7.12752,6.83644,1.19993,2.1565,850,23051,2,4,3,4,214
Quantum ,2013,7404,7.24266,6.83488,1.41258,2.474,289,20921,2,4,4,4,133
Splendor: Marvel ,2020,3917,7.60464,6.83327,1.16353,1.8472,72,23624,2,4,2,3,49
Take 5 ,1994,27829,6.95568,6.83124,1.26898,1.1955,1637,228402,3,10,5,6,540
Whitehall Mystery ,2017,3751,7.56082,6.83099,1.20197,2.1167,120,9129,2,4,2,2,116
Zombicide: Green Horde ,2018,4012,7.7069,6.83025,1.47919,2.4773,88,9135,1,4,3,3,74
Dinosaur Island: Rawr 'n Write ,2021,3004,7.75751,6.82976,1.17252,2.8182,77,11605,1,4,2,2,60
Coloretto ,2003,20603,6.97702,6.82899,1.13999,1.2774,1478,146717,2,5,4,4,350
A Game of Thrones: The Card Game (Second Edition) ,2015,4819,7.50727,6.82878,1.5784,3.527,148,39128,2,4,2,2,73
Shards of Infinity ,2018,4371,7.49059,6.82697,1.22955,1.9877,81,31564,2,3,2,2,90
Mare Nostrum: Empires ,2016,4028,7.5301,6.82628,1.36165,2.9627,134,7735,3,5,5,5,87
HeroQuest ,1989,13110,7.18448,6.82515,1.59819,2.1394,818,22772,2,5,5,5,174
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set ,2015,3090,7.74094,6.82478,1.47252,2.8421,57,5399,2,2,2,2,20
Betrayal at House on the Hill ,2004,44586,7.03329,6.82178,1.58515,2.3899,1944,81273,3,6,5,6,535
Medici ,1995,8014,7.16431,6.82175,1.26498,2.2492,598,26469,4,6,5,6,168
