Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Pictomania (Second Edition) ,https://boardgamegeek.com/boardgame/252526/pictomania-second-edition,1060,2018,2251,7.58604,6.57832,1.20547,1.449,49,8680,3,3.0,6.0,5.0,6.0,35,20,40,"Line Drawing
Paper-and-Pencil
",Party,28.0,7.07104,24.95,,,,,,
Las Vegas Royale ,https://boardgamegeek.com/boardgame/271319/las-vegas-royale,1065,2019,2606,7.46696,6.57411,1.14113,1.386,57,10049,1,3.0,5.0,4.0,5.0,47,45,60,"Area Majority / Influence
Dice Rolling
",Family,248.0,6.75556,88.29,,,,,,
Fauna ,https://boardgamegeek.com/boardgame/35497/fauna,1128,2008,4672,7.03804,6.54826,1.24471,1.4564,241,16287,12,2.0,6.0,4.0,5.0,77,45,60,"Betting and Bluffing
",Family,304.0,6.66332,,,,,,,
When I Dream ,https://boardgamegeek.com/boardgame/198454/when-i-dream,1166,2016,5699,6.95074,6.5292,1.32595,1.1882,85,13992,6,4.0,10.0,6.0,6.0,56,20,40,"Communication Limits
Hidden Roles
Memory
Role Playing
Storytelling
Team-Based Game
",Party,70.0,6.73539,,,,,,,
Insider ,https://boardgamegeek.com/boardgame/206051/insider,1170,2016,4266,7.04865,6.5275,1.29499,1.1143,70,34137,3,4.0,8.0,5.0,6.0,56,15,15,"Hidden Roles
Roles with Asymmetric Information
Team-Based Game
Voting
",Party,58.0,6.79659,22.95,,,,,,
Pictures ,https://boardgamegeek.com/boardgame/284108/pictures,1182,2019,3096,7.22237,6.51986,1.32242,1.0145,69,12011,12,3.0,5.0,5.0,5.0,46,20,30,"Communication Limits
Deduction
Pattern Recognition
",Party,48.0,6.88666,35.96,Family,300.0,6.66877,,,
Cockroach Poker Royal ,https://boardgamegeek.com/boardgame/129736/cockroach-poker-royal,1195,2012,4171,7.05166,6.51157,1.3674,1.1204,108,19914,0,3.0,6.0,4.0,5.0,52,15,25,"Hand Management
Set Collection
Single Loser Game
",Party,63.0,6.76638,,,,,,,
Werewords Deluxe Edition ,https://boardgamegeek.com/boardgame/245422/werewords-deluxe-edition,1235,2018,2019,7.54359,6.49356,1.32722,1.2963,27,21209,1,4.0,12.0,6.0,6.0,16,10,10,"Hidden Roles
Traitor Game
Variable Player Powers
Voting
",Party,35.0,7.02432,27.83,,,,,,
Star Wars: Jabba's Palace – A Love Letter Game ,https://boardgamegeek.com/boardgame/353470/star-wars-jabbas-palace-a-love-letter-game,1329,2022,2651,7.2341,6.45093,1.19135,1.234,47,14103,0,3.0,6.0,4.0,5.0,47,20,20,"Deduction
Hand Management
Player Elimination
Score-and-Reset Game
Set Collection
",Family,353.0,6.5953,11.78,,,,,,
Super Mega Lucky Box ,https://boardgamegeek.com/boardgame/341530/super-mega-lucky-box,1357,2021,3154,7.08232,6.43916,1.22778,1.194,67,35073,9,1.0,6.0,4.0,5.0,43,20,20,"Bingo
Paper-and-Pencil
Pattern Building
",Family,369.0,6.57628,17.99,,,,,,
Ghost Blitz ,https://boardgamegeek.com/boardgame/83195/ghost-blitz,1378,2010,9451,6.70887,6.43181,1.34801,1.1429,343,35979,10,2.0,6.0,4.0,5.0,89,20,20,"Pattern Recognition
Speed Matching
",Party,108.0,6.51296,19.06,Family,447.0,6.48429,,,
TransAmerica ,https://boardgamegeek.com/boardgame/2842/transamerica,1401,2001,8259,6.68553,6.42246,1.31725,1.3461,838,40423,7,3.0,6.0,5.0,6.0,139,30,30,"Connections
Race
Score-and-Reset Game
",Family,454.0,6.47986,29.53,,,,,,
