Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
Kemet: Blood and Sand ,2021,3932,8.01702,7.13334,1.31846,3.2261,115,6119,Strategy Games,1,2,5,4,4.0,81,,,,
Survive: Escape from Atlantis! ,1982,25032,7.31562,7.13267,1.1987,1.6967,1022,72335,Family Games,1,2,4,4,4.0,404,,,,
Antiquity ,2004,4366,7.86031,7.13191,1.52755,4.3134,402,8917,Strategy Games,1,2,4,2,3.0,103,,,,
Exit: The Game – The Abandoned Cabin ,2016,11033,7.44007,7.1316,1.32765,2.5482,166,9878,Thematic Games,1,1,4,2,2.0,166,,,,
Tiny Epic Galaxies ,2015,19751,7.34137,7.12956,1.20464,2.1522,506,66566,Strategy Games,1,1,4,3,3.0,293,,,,
Love Letter ,2012,65461,7.22461,7.12851,1.3476,1.1865,2794,354930,Family Games,1,3,4,4,4.0,1076,,,,
Bunny Kingdom ,2017,11740,7.43996,7.12598,1.23748,2.3077,234,46793,Family Games,1,2,4,4,4.0,192,,,,
For Sale ,1997,29487,7.24792,7.12593,1.15629,1.2537,1687,184854,Family Games,1,3,6,5,5.0,416,,,,
Lost Cities ,1999,44559,7.22496,7.12432,1.26713,1.481,3085,331956,Family Games,1,2,2,2,2.0,415,,,,
Burgle Bros. ,2015,10938,7.45083,7.1239,1.19429,2.3145,283,40615,Family Games,1,1,4,3,3.0,195,Thematic Games,1,,
Acquire ,1964,19816,7.33416,7.12287,1.33827,2.5,1648,42050,Strategy Games,1,3,6,4,4.0,349,,,,
Destinies ,2021,7275,7.77423,7.1227,1.52696,1.8966,203,17529,Thematic Games,1,1,3,2,2.0,163,,,,
Dead of Winter: The Long Night ,2016,9606,7.5445,7.12249,1.39239,3.3568,185,10654,Thematic Games,1,3,5,4,4.0,112,,,,
